company_name,domain,keyword,company_url
Macquarie Telecom Group + Australia + ANZ,www.macquarietelecom.com,windows,https://www.macquarietelecom.com/hosting/dedicated_server.htm
Macquarie Telecom Group + Australia + ANZ,www.macquarietelecom.com,android,https://www.macquarietelecom.com/data/secure-remote-access/
Masan Resources + Vietnam + ASEAN,www.masanhightechmaterials.com,windows,https://masanhightechmaterials.com/vi/career/ky-su-dieu-khien-he-thong-va-tu-dong-hoa/
Maxis Berhad + Malaysia + ASEAN,www.maxis.com.my,ios,https://www.maxis.com.my/en/mobile-plans/esim/ios/
Maxis Berhad + Malaysia + ASEAN,www.maxis.com.my,android,https://www.maxis.com.my/en/discovery/smart-technology/why-mobile-processors-matter/
Maxis Mobile Sdn Bhd + Malaysia + ASEAN,www.maxis.com.my,ios,https://www.maxis.com.my/en/mobile-plans/esim/ios/
Maxis Mobile Sdn Bhd + Malaysia + ASEAN,www.maxis.com.my,android,https://www.maxis.com.my/en/discovery/smart-technology/why-mobile-processors-matter/
Maxis Berhad + Malaysia + ASEAN,www.maxis.com.my,apple ios,https://www.maxis.com.my/en/devices/trade-in/
Masan Resources + Vietnam + ASEAN,www.masanhightechmaterials.com,ios,https://masanhightechmaterials.com/wp-content/uploads/2022/01/2020-Annual-Sustainability-Report.pdf
Maxis Mobile Sdn Bhd + Malaysia + ASEAN,www.maxis.com.my,apple ios,https://www.maxis.com.my/en/devices/trade-in/
Maxis + Malaysia + ASEAN,www.maxis.com.my,ios,https://www.maxis.com.my/en/mobile-plans/esim/ios/
Maxis + Malaysia + ASEAN,www.maxis.com.my,android,https://www.maxis.com.my/en/discovery/smart-technology/why-mobile-processors-matter/
Maxis + Malaysia + ASEAN,www.maxis.com.my,apple ios,https://www.maxis.com.my/en/devices/trade-in/
MetroData Electronics Tbk + Indonesia + ASEAN,www.metrodata.co.id,windows,https://www.metrodata.co.id/cfind/source/files/berita/paket%20migrasi%20ke%20aws-2.pdf
MetroData Electronics Tbk + Indonesia + ASEAN,www.metrodata.co.id,linux,https://www.metrodata.co.id/cfind/source/files/berita/paket%20migrasi%20ke%20aws-2.pdf
MetroData Electronics Tbk + Indonesia + ASEAN,www.metrodata.co.id,ubuntu,https://www.metrodata.co.id/cfind/source/files/berita/paket%20migrasi%20ke%20aws-2.pdf
